Month,Id,Seasons,RB_Rate_kg,RB_Rate_qtls,Type,Type_Code,Maturity_mo,Yield_qtls_acer,Sales_acer,Cost_Culti_acre,Profit,Plant_Height_inch,Root_Depth,Plant_Spaceing_beds_inch,Plant_Spaceing_Rows_inch,Plant_Spaceing_bw_Rows_inch,Water_Req,Nutrient_Dem,Comments
January,0,Winter,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,Can be grown throughout the year with availability of sufficient water.
February,1,Winter,23,2300,Beet Root,1,3,200,460000,80000,380000,12,Shallow,4,6,21,M,H,
March,2,Winter,18,1800,Beet Root,1,3,200,360000,80000,280000,12,Shallow,4,6,21,M,H,
April,3,Summer,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,
May,4,Summer,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,
June,5,Summer,34,3400,Beet Root,1,3,200,680000,80000,600000,12,Shallow,4,6,21,M,H,
July,6,Rainy,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,
August,7,Rainy,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,
September,8,Rainy,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,
October,9,Autumn,30,3000,Beet Root,1,3,200,600000,80000,520000,12,Shallow,4,6,21,M,H,
November,10,Autumn,48,4800,Beet Root,1,3,200,960000,80000,880000,12,Shallow,4,6,21,M,H,
December,11,Winter,32,3200,Beet Root,1,3,200,640000,80000,560000,12,Shallow,4,6,21,M,H,
January,12,Winter,21,2100,Bhendi,2,2,100,210000,25000,185000,36,Deep,NA,20,40,H,,
February,13,Winter,30,3000,Bhendi,2,2,100,300000,25000,275000,36,Deep,NA,20,40,H,,
March,14,Winter,23,2300,Bhendi,2,2,100,230000,25000,205000,36,Deep,NA,20,40,H,,
April,15,Summer,18,1800,Bhendi,2,2,100,180000,25000,155000,36,Deep,NA,20,40,H,,
May,16,Summer,18,1800,Bhendi,2,2,100,180000,25000,155000,36,Deep,NA,20,40,H,,
June,17,Summer,21,2100,Bhendi,2,2,100,210000,25000,185000,36,Deep,NA,20,40,H,,
July,18,Rainy,21,2100,Bhendi,2,2,100,210000,25000,185000,36,Deep,NA,20,40,H,,
August,19,Rainy,17,1700,Bhendi,2,2,100,170000,25000,145000,36,Deep,NA,20,40,H,,
September,20,Rainy,8,800,Bhendi,2,2,100,80000,25000,55000,36,Deep,NA,20,40,H,,
October,21,Autumn,21,2100,Bhendi,2,2,100,210000,25000,185000,36,Deep,NA,20,40,H,,
November,22,Autumn,22,2200,Bhendi,2,2,100,220000,25000,195000,36,Deep,NA,20,40,H,,
December,23,Winter,22,2200,Bhendi,2,2,100,220000,25000,195000,36,Deep,NA,20,40,H,,
January,24,Winter,23,2300,Bitter Gourd,3,4,140,322000,100000,222000,70,Medium,NA,18,60,M,,
February,25,Winter,18,1800,Bitter Gourd,3,4,140,252000,100000,152000,70,Medium,NA,18,60,M,,
March,26,Winter,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,70,Medium,NA,18,60,M,,
April,27,Summer,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,70,Medium,NA,18,60,M,,
May,28,Summer,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,70,Medium,NA,18,60,M,,
June,29,Summer,22,2200,Bitter Gourd,3,4,140,308000,100000,208000,70,Medium,NA,18,60,M,,
July,30,Rainy,32,3200,Bitter Gourd,3,4,140,448000,100000,348000,70,Medium,NA,18,60,M,,
August,31,Rainy,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,70,Medium,NA,18,60,M,,
September,32,Rainy,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,70,Medium,NA,18,60,M,,
October,33,Autumn,30,3000,Bitter Gourd,3,4,140,420000,100000,320000,70,Medium,NA,18,60,M,,
November,34,Autumn,30,3000,Bitter Gourd,3,4,140,420000,100000,320000,70,Medium,NA,18,60,M,,
December,35,Winter,24,2400,Bitter Gourd,3,4,140,336000,100000,236000,70,Medium,NA,18,60,M,,
January,36,Winter,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
February,37,Winter,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
March,38,Winter,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
April,39,Summer,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
May,40,Summer,6,600,Bottle Gourd,4,4,120,72000,17000,55000,60,Shallow,NA,12,30,M,,
June,41,Summer,14,1400,Bottle Gourd,4,4,120,168000,17000,151000,60,Shallow,NA,12,30,M,,
July,42,Rainy,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
August,43,Rainy,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
September,44,Rainy,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
October,45,Autumn,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
November,46,Autumn,8,800,Bottle Gourd,4,4,120,96000,17000,79000,60,Shallow,NA,12,30,M,,
December,47,Winter,14,1400,Bottle Gourd,4,4,120,168000,17000,151000,60,Shallow,NA,12,30,M,,
January,48,Winter,8,800,Brinjal,5,3,200,160000,25000,135000,50,Deep,NA,24,36,M,H,
February,49,Winter,33,3300,Brinjal,5,3,200,660000,25000,635000,50,Deep,NA,24,36,M,H,
March,50,Winter,23,2300,Brinjal,5,3,200,460000,25000,435000,50,Deep,NA,24,36,M,H,
April,51,Summer,28,2800,Brinjal,5,3,200,560000,25000,535000,50,Deep,NA,24,36,M,H,
May,52,Summer,21,2100,Brinjal,5,3,200,420000,25000,395000,50,Deep,NA,24,36,M,H,
June,53,Summer,32,3200,Brinjal,5,3,200,640000,25000,615000,50,Deep,NA,24,36,M,H,
July,54,Rainy,32,3200,Brinjal,5,3,200,640000,25000,615000,50,Deep,NA,24,36,M,H,
August,55,Rainy,42,4200,Brinjal,5,3,200,840000,25000,815000,50,Deep,NA,24,36,M,H,
September,56,Rainy,30,3000,Brinjal,5,3,200,600000,25000,575000,50,Deep,NA,24,36,M,H,
October,57,Autumn,43,4300,Brinjal,5,3,200,860000,25000,835000,50,Deep,NA,24,36,M,H,
November,58,Autumn,21,2100,Brinjal,5,3,200,420000,25000,395000,50,Deep,NA,24,36,M,H,
December,59,Winter,22,2200,Brinjal,5,3,200,440000,25000,415000,50,Deep,NA,24,36,M,H,
January,60,Winter,16,1600,Cabbage,6,2,160,256000,21000,235000,15,Shallow,15,18,28,H,H,
February,61,Winter,15,1500,Cabbage,6,2,160,240000,21000,219000,15,Shallow,15,18,28,H,H,
March,62,Winter,14,1400,Cabbage,6,2,160,224000,21000,203000,15,Shallow,15,18,28,H,H,
April,63,Summer,15,1500,Cabbage,6,2,160,240000,21000,219000,15,Shallow,15,18,28,H,H,
May,64,Summer,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
June,65,Summer,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
July,66,Rainy,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
August,67,Rainy,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
September,68,Rainy,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
October,69,Autumn,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
November,70,Autumn,32,3200,Cabbage,6,2,160,512000,21000,491000,15,Shallow,15,18,28,H,H,
December,71,Winter,30,3000,Cabbage,6,2,160,480000,21000,459000,15,Shallow,15,18,28,H,H,
January,72,Winter,14,1400,Carrot,7,3,120,168000,90000,78000,12,Medium,3,6,25,M,L,
February,73,Winter,23,2300,Carrot,7,3,120,276000,90000,186000,12,Medium,3,6,25,M,L,
March,74,Winter,28,2800,Carrot,7,3,120,336000,90000,246000,12,Medium,3,6,25,M,L,
April,75,Summer,33,3300,Carrot,7,3,120,396000,90000,306000,12,Medium,3,6,25,M,L,
May,76,Summer,48,4800,Carrot,7,3,120,576000,90000,486000,12,Medium,3,6,25,M,L,
June,77,Summer,63,6300,Carrot,7,3,120,756000,90000,666000,12,Medium,3,6,25,M,L,
July,78,Rainy,54,5400,Carrot,7,3,120,648000,90000,558000,12,Medium,3,6,25,M,L,
August,79,Rainy,43,4300,Carrot,7,3,120,516000,90000,426000,12,Medium,3,6,25,M,L,
September,80,Rainy,43,4300,Carrot,7,3,120,516000,90000,426000,12,Medium,3,6,25,M,L,
October,81,Autumn,43,4300,Carrot,7,3,120,516000,90000,426000,12,Medium,3,6,25,M,L,
November,82,Autumn,63,6300,Carrot,7,3,120,756000,90000,666000,12,Medium,3,6,25,M,L,
December,83,Winter,53,5300,Carrot,7,3,120,636000,90000,546000,12,Medium,3,6,25,M,L,
January,84,Winter,17,1700,Cauliflower,8,2,100,170000,21000,149000,20,Shallow,14,18,38,M,H,
February,85,Winter,14,1400,Cauliflower,8,2,100,140000,21000,119000,20,Shallow,14,18,38,M,H,
March,86,Winter,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
April,87,Summer,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
May,88,Summer,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
June,89,Summer,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
July,90,Rainy,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
August,91,Rainy,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
September,92,Rainy,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
October,93,Autumn,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
November,94,Autumn,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
December,95,Winter,23,2300,Cauliflower,8,2,100,230000,21000,209000,20,Shallow,14,18,38,M,H,
January,96,Winter,24,2400,Cluster Beans,9,3,20,48000,20000,28000,22,Medium,6,12,33,M,L,
February,97,Winter,33,3300,Cluster Beans,9,3,20,66000,20000,46000,22,Medium,6,12,33,M,L,
March,98,Winter,20,2000,Cluster Beans,9,3,20,40000,20000,20000,22,Medium,6,12,33,M,L,
April,99,Summer,19,1900,Cluster Beans,9,3,20,38000,20000,18000,22,Medium,6,12,33,M,L,
May,100,Summer,18,1800,Cluster Beans,9,3,20,36000,20000,16000,22,Medium,6,12,33,M,L,
June,101,Summer,0,0,Cluster Beans,9,3,20,0,20000,-20000,22,Medium,6,12,33,M,L,
July,102,Rainy,32,3200,Cluster Beans,9,3,20,64000,20000,44000,22,Medium,6,12,33,M,L,
August,103,Rainy,0,0,Cluster Beans,9,3,20,0,20000,-20000,22,Medium,6,12,33,M,L,
September,104,Rainy,21,2100,Cluster Beans,9,3,20,42000,20000,22000,22,Medium,6,12,33,M,L,
October,105,Autumn,21,2100,Cluster Beans,9,3,20,42000,20000,22000,22,Medium,6,12,33,M,L,
November,106,Autumn,22,2200,Cluster Beans,9,3,20,44000,20000,24000,22,Medium,6,12,33,M,L,
December,107,Winter,21,2100,Cluster Beans,9,3,20,42000,20000,22000,22,Medium,6,12,33,M,L,
January,108,Winter,21,2100,Colocasia,10,4,25,52500,20000,32500,60,Shallow,NA,24,40,H,H,
February,109,Winter,24,2400,Colocasia,10,4,25,60000,20000,40000,60,Shallow,NA,24,40,H,H,
March,110,Winter,21,2100,Colocasia,10,4,25,52500,20000,32500,60,Shallow,NA,24,40,H,H,
April,111,Summer,21,2100,Colocasia,10,4,25,52500,20000,32500,60,Shallow,NA,24,40,H,H,
May,112,Summer,21,2100,Colocasia,10,4,25,52500,20000,32500,60,Shallow,NA,24,40,H,H,
June,113,Summer,30,3000,Colocasia,10,4,25,75000,20000,55000,60,Shallow,NA,24,40,H,H,
July,114,Rainy,0,0,Colocasia,10,4,25,0,20000,-20000,60,Shallow,NA,24,40,H,H,
August,115,Rainy,0,0,Colocasia,10,4,25,0,20000,-20000,60,Shallow,NA,24,40,H,H,
September,116,Rainy,0,0,Colocasia,10,4,25,0,20000,-20000,60,Shallow,NA,24,40,H,H,
October,117,Autumn,4,400,Colocasia,10,4,25,10000,20000,-10000,60,Shallow,NA,24,40,H,H,
November,118,Autumn,21,2100,Colocasia,10,4,25,52500,20000,32500,60,Shallow,NA,24,40,H,H,
December,119,Winter,0,0,Colocasia,10,4,25,0,20000,-20000,60,Shallow,NA,24,40,H,H,
January,120,Winter,0,0,Cucumber,11,2,65,0,10000,-10000,12,Medium,12,40,48,H,H,
February,121,Winter,0,0,Cucumber,11,2,65,0,10000,-10000,12,Medium,12,40,48,H,H,
March,122,Winter,0,0,Cucumber,11,2,65,0,10000,-10000,12,Medium,12,40,48,H,H,
April,123,Summer,0,0,Cucumber,11,2,65,0,10000,-10000,12,Medium,12,40,48,H,H,
May,124,Summer,0,0,Cucumber,11,2,65,0,10000,-10000,12,Medium,12,40,48,H,H,
June,125,Summer,0,0,Cucumber,11,2,65,0,10000,-10000,12,Medium,12,40,48,H,H,
July,126,Rainy,0,0,Cucumber,11,2,65,0,10000,-10000,12,Medium,12,40,48,H,H,
August,127,Rainy,0,0,Cucumber,11,2,65,0,10000,-10000,12,Medium,12,40,48,H,H,
September,128,Rainy,4,400,Cucumber,11,2,65,26000,10000,16000,12,Medium,12,40,48,H,H,
October,129,Autumn,6,600,Cucumber,11,2,65,39000,10000,29000,12,Medium,12,40,48,H,H,
November,130,Autumn,0,0,Cucumber,11,2,65,0,10000,-10000,12,Medium,12,40,48,H,H,
December,131,Winter,0,0,Cucumber,11,2,65,0,10000,-10000,12,Medium,12,40,48,H,H,
January,132,Winter,17,1700,Donda,12,3,60,102000,20000,82000,70,Medium,NA,50,70,L,,
February,133,Winter,16,1600,Donda,12,3,60,96000,20000,76000,70,Medium,NA,50,70,L,,
March,134,Winter,16,1600,Donda,12,3,60,96000,20000,76000,70,Medium,NA,50,70,L,,
April,135,Summer,13,1300,Donda,12,3,60,78000,20000,58000,70,Medium,NA,50,70,L,,
May,136,Summer,16,1600,Donda,12,3,60,96000,20000,76000,70,Medium,NA,50,70,L,,
June,137,Summer,21,2100,Donda,12,3,60,126000,20000,106000,70,Medium,NA,50,70,L,,
July,138,Rainy,21,2100,Donda,12,3,60,126000,20000,106000,70,Medium,NA,50,70,L,,
August,139,Rainy,16,1600,Donda,12,3,60,96000,20000,76000,70,Medium,NA,50,70,L,,
September,140,Rainy,15,1500,Donda,12,3,60,90000,20000,70000,70,Medium,NA,50,70,L,,
October,141,Autumn,25,2500,Donda,12,3,60,150000,20000,130000,70,Medium,NA,50,70,L,,
November,142,Autumn,21,2100,Donda,12,3,60,126000,20000,106000,70,Medium,NA,50,70,L,,
December,143,Winter,21,2100,Donda,12,3,60,126000,20000,106000,70,Medium,NA,50,70,L,,
January,144,Winter,28,2800,French Beans,13,2,50,140000,25000,115000,18,Medium,NA,3,30,M,L,
February,145,Winter,43,4300,French Beans,13,2,50,215000,25000,190000,18,Medium,NA,3,30,M,L,
March,146,Winter,33,3300,French Beans,13,2,50,165000,25000,140000,18,Medium,NA,3,30,M,L,
April,147,Summer,48,4800,French Beans,13,2,50,240000,25000,215000,18,Medium,NA,3,30,M,L,
May,148,Summer,0,0,French Beans,13,2,50,0,25000,-25000,18,Medium,NA,3,30,M,L,
June,149,Summer,63,6300,French Beans,13,2,50,315000,25000,290000,18,Medium,NA,3,30,M,L,
July,150,Rainy,34,3400,French Beans,13,2,50,170000,25000,145000,18,Medium,NA,3,30,M,L,
August,151,Rainy,43,4300,French Beans,13,2,50,215000,25000,190000,18,Medium,NA,3,30,M,L,
September,152,Rainy,32,3200,French Beans,13,2,50,160000,25000,135000,18,Medium,NA,3,30,M,L,
October,153,Autumn,54,5400,French Beans,13,2,50,270000,25000,245000,18,Medium,NA,3,30,M,L,
November,154,Autumn,43,4300,French Beans,13,2,50,215000,25000,190000,18,Medium,NA,3,30,M,L,
December,155,Winter,43,4300,French Beans,13,2,50,215000,25000,190000,18,Medium,NA,3,30,M,L,
January,156,Winter,17,1700,Green Chillies,14,2,20,34000,16000,18000,30,Shallow,NA,30,60,M,,
February,157,Winter,14,1400,Green Chillies,14,2,20,28000,16000,12000,30,Shallow,NA,30,60,M,,
March,158,Winter,10,1000,Green Chillies,14,2,20,20000,16000,4000,30,Shallow,NA,30,60,M,,
April,159,Summer,15,1500,Green Chillies,14,2,20,30000,16000,14000,30,Shallow,NA,30,60,M,,
May,160,Summer,54,5400,Green Chillies,14,2,20,108000,16000,92000,30,Shallow,NA,30,60,M,,
June,161,Summer,54,5400,Green Chillies,14,2,20,108000,16000,92000,30,Shallow,NA,30,60,M,,
July,162,Rainy,43,4300,Green Chillies,14,2,20,86000,16000,70000,30,Shallow,NA,30,60,M,,
August,163,Rainy,21,2100,Green Chillies,14,2,20,42000,16000,26000,30,Shallow,NA,30,60,M,,
September,164,Rainy,21,2100,Green Chillies,14,2,20,42000,16000,26000,30,Shallow,NA,30,60,M,,
October,165,Autumn,21,2100,Green Chillies,14,2,20,42000,16000,26000,30,Shallow,NA,30,60,M,,
November,166,Autumn,28,2800,Green Chillies,14,2,20,56000,16000,40000,30,Shallow,NA,30,60,M,,
December,167,Winter,28,2800,Green Chillies,14,2,20,56000,16000,40000,30,Shallow,NA,30,60,M,,
January,168,Winter,3,300,Leafy Vegetables,15,2,120,36000,10000,26000,6,Shallow,12,12,14,L,H,
February,169,Winter,2,200,Leafy Vegetables,15,2,120,24000,10000,14000,6,Shallow,12,12,14,L,H,
March,170,Winter,2,200,Leafy Vegetables,15,2,120,24000,10000,14000,6,Shallow,12,12,14,L,H,
April,171,Summer,2,200,Leafy Vegetables,15,2,120,24000,10000,14000,6,Shallow,12,12,14,L,H,
May,172,Summer,3,300,Leafy Vegetables,15,2,120,36000,10000,26000,6,Shallow,12,12,14,L,H,
June,173,Summer,4,400,Leafy Vegetables,15,2,120,48000,10000,38000,6,Shallow,12,12,14,L,H,
July,174,Rainy,4,400,Leafy Vegetables,15,2,120,48000,10000,38000,6,Shallow,12,12,14,L,H,
August,175,Rainy,4,400,Leafy Vegetables,15,2,120,48000,10000,38000,6,Shallow,12,12,14,L,H,
September,176,Rainy,5,500,Leafy Vegetables,15,2,120,60000,10000,50000,6,Shallow,12,12,14,L,H,
October,177,Autumn,4,400,Leafy Vegetables,15,2,120,48000,10000,38000,6,Shallow,12,12,14,L,H,
November,178,Autumn,5,500,Leafy Vegetables,15,2,120,60000,10000,50000,6,Shallow,12,12,14,L,H,
December,179,Winter,4,400,Leafy Vegetables,15,2,120,48000,10000,38000,6,Shallow,12,12,14,L,H,
January,180,Winter,15,1500,Onions,16,3,140,210000,40000,170000,30,Shallow,NA,5,15,M,L,
February,181,Winter,15,1500,Onions,16,3,140,210000,40000,170000,30,Shallow,NA,5,15,M,L,
March,182,Winter,15,1500,Onions,16,3,140,210000,40000,170000,30,Shallow,NA,5,15,M,L,
April,183,Summer,15,1500,Onions,16,3,140,210000,40000,170000,30,Shallow,NA,5,15,M,L,
May,184,Summer,15,1500,Onions,16,3,140,210000,40000,170000,30,Shallow,NA,5,15,M,L,
June,185,Summer,15,1500,Onions,16,3,140,210000,40000,170000,30,Shallow,NA,5,15,M,L,
July,186,Rainy,15,1500,Onions,16,3,140,210000,40000,170000,30,Shallow,NA,5,15,M,L,
August,187,Rainy,22,2200,Onions,16,3,140,308000,40000,268000,30,Shallow,NA,5,15,M,L,
September,188,Rainy,18,1800,Onions,16,3,140,252000,40000,212000,30,Shallow,NA,5,15,M,L,
October,189,Autumn,21,2100,Onions,16,3,140,294000,40000,254000,30,Shallow,NA,5,15,M,L,
November,190,Autumn,32,3200,Onions,16,3,140,448000,40000,408000,30,Shallow,NA,5,15,M,L,
December,191,Winter,38,3800,Onions,16,3,140,532000,40000,492000,30,Shallow,NA,5,15,M,L,
January,192,Winter,18,1800,Potato,17,3,100,180000,80000,100000,30,Shallow,12,12,24,H,L,
February,193,Winter,20,2000,Potato,17,3,100,200000,80000,120000,30,Shallow,12,12,24,H,L,
March,194,Winter,18,1800,Potato,17,3,100,180000,80000,100000,30,Shallow,12,12,24,H,L,
April,195,Summer,18,1800,Potato,17,3,100,180000,80000,100000,30,Shallow,12,12,24,H,L,
May,196,Summer,18,1800,Potato,17,3,100,180000,80000,100000,30,Shallow,12,12,24,H,L,
June,197,Summer,18,1800,Potato,17,3,100,180000,80000,100000,30,Shallow,12,12,24,H,L,
July,198,Rainy,18,1800,Potato,17,3,100,180000,80000,100000,30,Shallow,12,12,24,H,L,
August,199,Rainy,20,2000,Potato,17,3,100,200000,80000,120000,30,Shallow,12,12,24,H,L,
September,200,Rainy,21,2100,Potato,17,3,100,210000,80000,130000,30,Shallow,12,12,24,H,L,
October,201,Autumn,21,2100,Potato,17,3,100,210000,80000,130000,30,Shallow,12,12,24,H,L,
November,202,Autumn,18,1800,Potato,17,3,100,180000,80000,100000,30,Shallow,12,12,24,H,L,
December,203,Winter,18,1800,Potato,17,3,100,180000,80000,100000,30,Shallow,12,12,24,H,L,
January,204,Winter,22,2200,Ribbed Gourd,18,2,40,88000,17000,71000,70,Medium,NA,20,60,M,,
February,205,Winter,28,2800,Ribbed Gourd,18,2,40,112000,17000,95000,70,Medium,NA,20,60,M,,
March,206,Winter,21,2100,Ribbed Gourd,18,2,40,84000,17000,67000,70,Medium,NA,20,60,M,,
April,207,Summer,20,2000,Ribbed Gourd,18,2,40,80000,17000,63000,70,Medium,NA,20,60,M,,
May,208,Summer,25,2500,Ribbed Gourd,18,2,40,100000,17000,83000,70,Medium,NA,20,60,M,,
June,209,Summer,32,3200,Ribbed Gourd,18,2,40,128000,17000,111000,70,Medium,NA,20,60,M,,
July,210,Rainy,34,3400,Ribbed Gourd,18,2,40,136000,17000,119000,70,Medium,NA,20,60,M,,
August,211,Rainy,25,2500,Ribbed Gourd,18,2,40,100000,17000,83000,70,Medium,NA,20,60,M,,
September,212,Rainy,21,2100,Ribbed Gourd,18,2,40,84000,17000,67000,70,Medium,NA,20,60,M,,
October,213,Autumn,30,3000,Ribbed Gourd,18,2,40,120000,17000,103000,70,Medium,NA,20,60,M,,
November,214,Autumn,38,3800,Ribbed Gourd,18,2,40,152000,17000,135000,70,Medium,NA,20,60,M,,
December,215,Winter,34,3400,Ribbed Gourd,18,2,40,136000,17000,119000,70,Medium,NA,20,60,M,,
January,216,Winter,0,0,Snake Gourd,19,2,70,0,30000,-30000,60,Medium,NA,20,60,M,,
February,217,Winter,0,0,Snake Gourd,19,2,70,0,30000,-30000,60,Medium,NA,20,60,M,,
March,218,Winter,0,0,Snake Gourd,19,2,70,0,30000,-30000,60,Medium,NA,20,60,M,,
April,219,Summer,0,0,Snake Gourd,19,2,70,0,30000,-30000,60,Medium,NA,20,60,M,,
May,220,Summer,0,0,Snake Gourd,19,2,70,0,30000,-30000,60,Medium,NA,20,60,M,,
June,221,Summer,13,1300,Snake Gourd,19,2,70,91000,30000,61000,60,Medium,NA,20,60,M,,
July,222,Rainy,0,0,Snake Gourd,19,2,70,0,30000,-30000,60,Medium,NA,20,60,M,,
August,223,Rainy,0,0,Snake Gourd,19,2,70,0,30000,-30000,60,Medium,NA,20,60,M,,
September,224,Rainy,0,0,Snake Gourd,19,2,70,0,30000,-30000,60,Medium,NA,20,60,M,,
October,225,Autumn,0,0,Snake Gourd,19,2,70,0,30000,-30000,60,Medium,NA,20,60,M,,
November,226,Autumn,0,0,Snake Gourd,19,2,70,0,30000,-30000,60,Medium,NA,20,60,M,,
December,227,Winter,0,0,Snake Gourd,19,2,70,0,30000,-30000,60,Medium,NA,20,60,M,,
January,228,Winter,7,700,Tomato,20,2,130,91000,30000,61000,70,Deep,18,34,60,M,H,
February,229,Winter,23,2300,Tomato,20,2,130,299000,30000,269000,70,Deep,18,34,60,M,H,
March,230,Winter,18,1800,Tomato,20,2,130,234000,30000,204000,70,Deep,18,34,60,M,H,
April,231,Summer,8,800,Tomato,20,2,130,104000,30000,74000,70,Deep,18,34,60,M,H,
May,232,Summer,10,1000,Tomato,20,2,130,130000,30000,100000,70,Deep,18,34,60,M,H,
June,233,Summer,21,2100,Tomato,20,2,130,273000,30000,243000,70,Deep,18,34,60,M,H,
July,234,Rainy,50,5000,Tomato,20,2,130,650000,30000,620000,70,Deep,18,34,60,M,H,
August,235,Rainy,38,3800,Tomato,20,2,130,494000,30000,464000,70,Deep,18,34,60,M,H,
September,236,Rainy,22,2200,Tomato,20,2,130,286000,30000,256000,70,Deep,18,34,60,M,H,
October,237,Autumn,33,3300,Tomato,20,2,130,429000,30000,399000,70,Deep,18,34,60,M,H,
November,238,Autumn,38,3800,Tomato,20,2,130,494000,30000,464000,70,Deep,18,34,60,M,H,
December,239,Winter,8,800,Tomato,20,2,130,104000,30000,74000,70,Deep,18,34,60,M,H,